name;postal_code;latitude;longitude;department;department_code;region;country
CHAMPDOR CORCELLES;1110;46.0198844188;5.60008759722;Ain;84;Auvergne-Rhône-Alpes;FR
CHAMPFROMIER;1410;46.220365768;5.82233573131;Ain;84;Auvergne-Rhône-Alpes;FR
CHANAY;1420;46.005695299;5.76893393185;Ain;84;Auvergne-Rhône-Alpes;FR
CHANEINS;1990;46.0934984191;4.85473364691;Ain;84;Auvergne-Rhône-Alpes;FR
CHANOZ CHATENAY;1400;46.1861812234;5.02807719246;Ain;84;Auvergne-Rhône-Alpes;FR
LA CHAPELLE DU CHATELARD;1240;46.0744536905;5.02162055898;Ain;84;Auvergne-Rhône-Alpes;FR
CHARIX;1130;46.1856344066;5.6811896084;Ain;84;Auvergne-Rhône-Alpes;FR
CHARNOZ SUR AIN;1800;45.8736786869;5.2211032563;Ain;84;Auvergne-Rhône-Alpes;FR
CHATEAU GAILLARD;1500;45.9730390239;5.30754273532;Ain;84;Auvergne-Rhône-Alpes;FR
CHATENAY;1320;46.0259402155;5.2048590395;Ain;84;Auvergne-Rhône-Alpes;FR
CHATILLON EN MICHAILLE;1200;46.1293337743;5.770176021;Ain;84;Auvergne-Rhône-Alpes;FR
CHATILLON EN MICHAILLE;1200;46.1293337743;5.770176021;Ain;84;Auvergne-Rhône-Alpes;FR
CHATILLON EN MICHAILLE;1200;46.1293337743;5.770176021;Ain;84;Auvergne-Rhône-Alpes;FR
CHATILLON LA PALUD;1320;45.9748017433;5.2416027725;Ain;84;Auvergne-Rhône-Alpes;FR
CHATILLON SUR CHALARONNE;1400;46.1232390685;4.95810003714;Ain;84;Auvergne-Rhône-Alpes;FR
CHAVANNES SUR REYSSOUZE;1190;46.4379785193;5.00693749662;Ain;84;Auvergne-Rhône-Alpes;FR
CHAVANNES SUR SURAN;1250;46.2750157946;5.41649423093;Ain;84;Auvergne-Rhône-Alpes;FR
CHAVEYRIAT;1660;46.1991513767;5.0564069258;Ain;84;Auvergne-Rhône-Alpes;FR
CHAVORNAY;1510;45.8824049535;5.72499814516;Ain;84;Auvergne-Rhône-Alpes;FR
CHAZEY BONS;1300;45.7925770617;5.68477063188;Ain;84;Auvergne-Rhône-Alpes;FR
CHAZEY SUR AIN;1150;45.8929448968;5.25528498524;Ain;84;Auvergne-Rhône-Alpes;FR
CHEIGNIEU LA BALME;1510;45.8227204334;5.6050023969;Ain;84;Auvergne-Rhône-Alpes;FR
CHEVILLARD;1430;46.1103512578;5.58116056005;Ain;84;Auvergne-Rhône-Alpes;FR
CHEVROUX;1190;46.38249255;4.96288275972;Ain;84;Auvergne-Rhône-Alpes;FR
CHEVRY;1170;46.283152935;6.04707941462;Ain;84;Auvergne-Rhône-Alpes;FR
CHEZERY FORENS;1200;46.222573373;5.87248105275;Ain;84;Auvergne-Rhône-Alpes;FR
CHEZERY FORENS;1410;46.222573373;5.87248105275;Ain;84;Auvergne-Rhône-Alpes;FR
CIVRIEUX;1390;45.922467454;4.88633786877;Ain;84;Auvergne-Rhône-Alpes;FR
CIZE;1250;46.2003848172;5.45082526739;Ain;84;Auvergne-Rhône-Alpes;FR
CLEYZIEU;1230;45.902146623;5.43272695486;Ain;84;Auvergne-Rhône-Alpes;FR
COLIGNY;1270;46.3866637865;5.3308227014;Ain;84;Auvergne-Rhône-Alpes;FR
COLLONGES;1550;46.1419227898;5.90040256654;Ain;84;Auvergne-Rhône-Alpes;FR
COLOMIEU;1300;45.7361469025;5.62670101041;Ain;84;Auvergne-Rhône-Alpes;FR
CONAND;1230;45.8834810846;5.47541328981;Ain;84;Auvergne-Rhône-Alpes;FR
CONDAMINE;1430;46.105831161;5.55568206762;Ain;84;Auvergne-Rhône-Alpes;FR
CONDEISSIAT;1400;46.1538469834;5.08437171701;Ain;84;Auvergne-Rhône-Alpes;FR
CONFORT;1200;46.1543700156;5.83319395258;Ain;84;Auvergne-Rhône-Alpes;FR
CONFRANCON;1310;46.270304175;5.05775217893;Ain;84;Auvergne-Rhône-Alpes;FR
CONTREVOZ;1300;45.8009403071;5.62087768159;Ain;84;Auvergne-Rhône-Alpes;FR
CONZIEU;1300;45.7253102173;5.60442351043;Ain;84;Auvergne-Rhône-Alpes;FR
CORBONOD;1420;45.9659473187;5.78961970355;Ain;84;Auvergne-Rhône-Alpes;FR
CORLIER;1110;46.0336885573;5.49635755029;Ain;84;Auvergne-Rhône-Alpes;FR
CORMARANCHE EN BUGEY;1110;45.9442772826;5.60860828487;Ain;84;Auvergne-Rhône-Alpes;FR
CORMORANCHE SUR SAONE;1290;46.2403530179;4.8276569593;Ain;84;Auvergne-Rhône-Alpes;FR
CORMOZ;1560;46.4336632942;5.22181275755;Ain;84;Auvergne-Rhône-Alpes;FR
CORVEISSIAT;1250;46.2505107235;5.47152467919;Ain;84;Auvergne-Rhône-Alpes;FR
COURMANGOUX;1370;46.3267864521;5.35558241812;Ain;84;Auvergne-Rhône-Alpes;FR
COURTES;1560;46.4570082032;5.11128546723;Ain;84;Auvergne-Rhône-Alpes;FR
CRANS;1320;45.9663793103;5.19490390871;Ain;84;Auvergne-Rhône-Alpes;FR
CRAS SUR REYSSOUZE;1340;46.3130831891;5.17796707174;Ain;84;Auvergne-Rhône-Alpes;FR
CRESSIN ROCHEFORT;1350;45.7826434885;5.76546256637;Ain;84;Auvergne-Rhône-Alpes;FR
CROTTET;1290;46.283072336;4.87747971182;Ain;84;Auvergne-Rhône-Alpes;FR
CROTTET;1750;46.283072336;4.87747971182;Ain;84;Auvergne-Rhône-Alpes;FR
CROZET;1170;46.2915659686;5.99510417092;Ain;84;Auvergne-Rhône-Alpes;FR
CRUZILLES LES MEPILLAT;1290;46.2220588715;4.8752193513;Ain;84;Auvergne-Rhône-Alpes;FR
CULOZ;1350;45.8559966843;5.78398308932;Ain;84;Auvergne-Rhône-Alpes;FR
CURCIAT DONGALON;1560;46.4885456881;5.16344336837;Ain;84;Auvergne-Rhône-Alpes;FR
CURTAFOND;1310;46.273150382;5.1020896267;Ain;84;Auvergne-Rhône-Alpes;FR
CUZIEU;1300;45.8200002803;5.6765554896;Ain;84;Auvergne-Rhône-Alpes;FR
DAGNEUX;1120;45.8531616918;5.07289166803;Ain;84;Auvergne-Rhône-Alpes;FR
DIVONNE LES BAINS;1220;46.3756333495;6.1158647611;Ain;84;Auvergne-Rhône-Alpes;FR
DOMMARTIN;1380;46.33627762;4.99863894;Ain;84;Auvergne-Rhône-Alpes;FR
DOMPIERRE SUR VEYLE;1240;46.0667883703;5.21665199666;Ain;84;Auvergne-Rhône-Alpes;FR
DOMPIERRE SUR CHALARONNE;1400;46.1415406621;4.90141714714;Ain;84;Auvergne-Rhône-Alpes;FR
DOMSURE;1270;46.4244066427;5.29313479651;Ain;84;Auvergne-Rhône-Alpes;FR
DORTAN;1590;46.3133221173;5.64146584117;Ain;84;Auvergne-Rhône-Alpes;FR
DOUVRES;1500;45.984297392;5.37106901673;Ain;84;Auvergne-Rhône-Alpes;FR
DROM;1250;46.2196603059;5.36799994918;Ain;84;Auvergne-Rhône-Alpes;FR
DRUILLAT;1160;46.067579544;5.29361666429;Ain;84;Auvergne-Rhône-Alpes;FR
ECHALLON;1130;46.2271364137;5.73330448395;Ain;84;Auvergne-Rhône-Alpes;FR
ECHENEVEX;1170;46.3160845207;6.01926187996;Ain;84;Auvergne-Rhône-Alpes;FR
ETREZ;1340;46.3380891758;5.19286414645;Ain;84;Auvergne-Rhône-Alpes;FR
EVOSGES;1230;45.965147537;5.50283599885;Ain;84;Auvergne-Rhône-Alpes;FR
FARAMANS;1800;45.9104942091;5.1249258559;Ain;84;Auvergne-Rhône-Alpes;FR
FAREINS;1480;46.020997974;4.7620080898;Ain;84;Auvergne-Rhône-Alpes;FR
FARGES;1550;46.166230455;5.90019477201;Ain;84;Auvergne-Rhône-Alpes;FR
FEILLENS;1570;46.3365833672;4.88507050971;Ain;84;Auvergne-Rhône-Alpes;FR
FERNEY VOLTAIRE;1210;46.2519789243;6.10826403805;Ain;84;Auvergne-Rhône-Alpes;FR
FLAXIEU;1350;45.8113298005;5.74459048839;Ain;84;Auvergne-Rhône-Alpes;FR
FOISSIAT;1340;46.3784759782;5.18483641417;Ain;84;Auvergne-Rhône-Alpes;FR
FRANCHELEINS;1090;46.0735946256;4.81293575559;Ain;84;Auvergne-Rhône-Alpes;FR
FRANCHELEINS;1090;46.0735946256;4.81293575559;Ain;84;Auvergne-Rhône-Alpes;FR
